Domain,Control,Phase,Status,Priority,Notes,Last Updated
Security Governance,Assign Security contacts,Quick Wins,Not Started,Critical,,
Security Governance,Select regions and block the rest,Quick Wins,Not Started,High,,
Identity and Access Management,Multi-Factor Authentication,Quick Wins,Not Started,Critical,,
Identity and Access Management,Root Account Protection,Quick Wins,Not Started,Critical,,
Identity and Access Management,Identity Federation,Quick Wins,Not Started,High,,
Identity and Access Management,Cleanup unintended accesses,Quick Wins,Not Started,High,,
Threat Detection,Detect Common Threats (GuardDuty),Quick Wins,Not Started,Critical,,
Threat Detection,Audit API calls (CloudTrail),Quick Wins,Not Started,Critical,,
Threat Detection,Billing alarms,Quick Wins,Not Started,Medium,,
Infrastructure Protection,Cleanup risky open ports,Quick Wins,Not Started,High,,
Data Protection,Block Public Access (S3),Quick Wins,Not Started,Critical,,
Data Protection,Analyze data security posture,Quick Wins,Not Started,Medium,,
Application Security,WAF with managed rules,Quick Wins,Not Started,High,,
Incident Response,Act on Critical Security Findings,Quick Wins,Not Started,Critical,,
Security Assurance,Evaluate Cloud Security Posture (CSPM),Quick Wins,Not Started,High,,
Resiliency,Evaluate Resilience,Quick Wins,Not Started,Medium,,
Security Governance,Identify security and regulatory requirements,Foundational,Not Started,High,,
Security Governance,Cloud Security Training Plan,Foundational,Not Started,Medium,,
Identity and Access Management,GuardRails: Organizational Policies with SCPs/RCPs,Foundational,Not Started,High,,
Identity and Access Management,Use Temporary Credentials,Foundational,Not Started,High,,
Identity and Access Management,Instance Metadata Service (IMDS) v2,Foundational,Not Started,High,,
Threat Detection,Advanced Threat Detection,Foundational,Not Started,Medium,,
Vulnerability Management,Manage infrastructure vulnerabilities,Foundational,Not Started,High,,
Vulnerability Management,Manage application vulnerabilities,Foundational,Not Started,High,,
Infrastructure Protection,Limit Network Access,Foundational,Not Started,High,,
Infrastructure Protection,Secure EC2 Instances Management,Foundational,Not Started,High,,
Infrastructure Protection,Network segmentation (VPCs),Foundational,Not Started,High,,
Infrastructure Protection,Multi-account management,Foundational,Not Started,Medium,,
Data Protection,Data Encryption at rest,Foundational,Not Started,High,,
Data Protection,Backups,Foundational,Not Started,High,,
Application Security,Involve security teams in development,Foundational,Not Started,Medium,,
Application Security,No secrets in code,Foundational,Not Started,High,,
Incident Response,Define incident response playbooks,Foundational,Not Started,High,,
Security Assurance,Inventory & Configuration monitoring,Foundational,Not Started,Medium,,
Resiliency,Redundancy using multiple Availability Zones,Foundational,Not Started,High,,
Security Governance,Design your secure architecture,Efficient,Not Started,Medium,,
Security Governance,Use infrastructure as code,Efficient,Not Started,Medium,,
Security Governance,Tagging strategy,Efficient,Not Started,Low,,
Identity and Access Management,Least Privilege Review,Efficient,Not Started,High,,
Identity and Access Management,Customer IAM: security of your customers,Efficient,Not Started,Medium,,
Threat Detection,Custom Threat Detection capabilities (SecLake / SIEM),Efficient,Not Started,Low,,
Vulnerability Management,Security Champions Program,Efficient,Not Started,Medium,,
Vulnerability Management,DevSecOps: Security in the Pipeline,Efficient,Not Started,High,,
Infrastructure Protection,Image Generation Pipeline,Efficient,Not Started,Medium,,
Infrastructure Protection,Anti-Malware / EDR / Runtime Protection,Efficient,Not Started,High,,
Infrastructure Protection,Outbound Traffic Control,Efficient,Not Started,Medium,,
Data Protection,Discover sensitive data,Efficient,Not Started,Medium,,
Application Security,Perform threat modeling,Efficient,Not Started,Medium,,
Application Security,WAF with custom rules,Efficient,Not Started,Low,,
Application Security,Advanced DDoS Mitigation (L7),Efficient,Not Started,Low,,
Incident Response,Run TableTop Exercises - Simulations,Efficient,Not Started,Medium,,
Incident Response,Automate Critical Playbooks,Efficient,Not Started,Medium,,
Incident Response,Security Investigations - Root cause analysis,Efficient,Not Started,Medium,,
Security Assurance,Create your compliance reports,Efficient,Not Started,Medium,,
Resiliency,Disaster Recovery Plan,Efficient,Not Started,High,,
Security Governance,Sharing security work and responsibility,Optimized,Not Started,Low,,
Identity and Access Management,IAM Data Perimeters,Optimized,Not Started,Medium,,
Identity and Access Management,IAM Policy Generation Pipeline,Optimized,Not Started,Low,,
Identity and Access Management,Temporary Elevated Access,Optimized,Not Started,Medium,,
Threat Detection,Threat Intelligence,Optimized,Not Started,Low,,
Threat Detection,Network Flows analysis (VPC Flow Logs),Optimized,Not Started,Medium,,
Vulnerability Management,Vulnerability Management Team,Optimized,Not Started,Low,,
Infrastructure Protection,Zero Trust Access,Optimized,Not Started,Medium,,
Infrastructure Protection,Use abstract services,Optimized,Not Started,Low,,
Data Protection,Encryption in transit,Optimized,Not Started,Medium,,
Data Protection,GenAI Data protection,Optimized,Not Started,Low,,
Application Security,Forming a Red Team (Attacker's Point of View),Optimized,Not Started,Low,,
Incident Response,Forming a Blue Team (Incident Response),Optimized,Not Started,Low,,
Incident Response,Advanced security automations,Optimized,Not Started,Low,,
Incident Response,Security Orchestration & Ticketing,Optimized,Not Started,Low,,
Incident Response,Automate deviation correction in configurations,Optimized,Not Started,Low,,
Security Assurance,Automate Evidence Gathering,Optimized,Not Started,Low,,
Resiliency,Multi-region Disaster Recovery Automation,Optimized,Not Started,Low,,
Resiliency,Chaos Engineering,Optimized,Not Started,Low,,
